ocel_event_id;ocel_IoT_object_id;ocel_qualifier
trs_entrytr40;rfidQROJYW;RFID tag read at entrance
weigh_empty_trucktr40;WS07;Weight sensor for empty truck weighing
trs_entrytr15;rfidQLBJQT;RFID tag read at entrance
trs_entrytr193;rfidPJULWR;RFID tag read at entrance
weigh_empty_trucktr15;WS13;Weight sensor for empty truck weighing
weigh_empty_trucktr193;WS14;Weight sensor for empty truck weighing
check_abnormalitytr40;rfidQROJYW;RFID tag read at empty truck weighing
check_abnormalitytr193;rfidPJULWR;RFID tag read at empty truck weighing
check_abnormalitytr15;rfidQLBJQT;RFID tag read at empty truck weighing
determine_continuanceSilo70;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo70;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr15;WS19;Weight sensor for loaded truck weighing
trs_entrytr58;rfidRDPLSQ;RFID tag read at entrance
trs_entrytr26;rfidMTJKAI;RFID tag read at entrance
trs_entrytr248;rfidUAFUKA;RFID tag read at entrance
trs_entrytr134;rfidQURQSQ;RFID tag read at entrance
trs_entrytr247;rfidGFAPJK;RFID tag read at entrance
weigh_empty_trucktr58;WS01;Weight sensor for empty truck weighing
weigh_empty_trucktr26;WS02;Weight sensor for empty truck weighing
weigh_empty_trucktr247;WS14;Weight sensor for empty truck weighing
weigh_empty_trucktr134;WS05;Weight sensor for empty truck weighing
weigh_empty_trucktr248;WS16;Weight sensor for empty truck weighing
check_abnormalitytr58;rfidRDPLSQ;RFID tag read at empty truck weighing
check_abnormalitytr134;rfidQURQSQ;RFID tag read at empty truck weighing
check_abnormalitytr26;rfidMTJKAI;RFID tag read at empty truck weighing
check_abnormalitytr247;rfidGFAPJK;RFID tag read at empty truck weighing
check_abnormalitytr248;rfidUAFUKA;RFID tag read at empty truck weighing
determine_continuanceSilo80;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo80;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo80;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo80;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo80;null;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr58;WS18;Weight sensor for loaded truck weighing
weigh_loaded_trucktr248;WS04;Weight sensor for loaded truck weighing
weigh_loaded_trucktr134;WS17;Weight sensor for loaded truck weighing
trs_entrytr119;rfidPVALEF;RFID tag read at entrance
trs_entrytr71;rfidBRQWKB;RFID tag read at entrance
trs_entrytr212;rfidIEKTXY;RFID tag read at entrance
trs_entrytr298;rfidPYSZHZ;RFID tag read at entrance
trs_entrytr245;rfidMZGBMS;RFID tag read at entrance
weigh_empty_trucktr119;WS07;Weight sensor for empty truck weighing
weigh_empty_trucktr71;WS12;Weight sensor for empty truck weighing
trs_entrytr253;rfidKJMYIU;RFID tag read at entrance
trs_entrytr141;rfidEIJMGR;RFID tag read at entrance
weigh_empty_trucktr298;WS13;Weight sensor for empty truck weighing
weigh_empty_trucktr212;WS09;Weight sensor for empty truck weighing
weigh_empty_trucktr245;WS17;Weight sensor for empty truck weighing
weigh_empty_trucktr253;WS06;Weight sensor for empty truck weighing
weigh_empty_trucktr141;WS04;Weight sensor for empty truck weighing
check_abnormalitytr119;rfidPVALEF;RFID tag read at empty truck weighing
check_abnormalitytr71;rfidBRQWKB;RFID tag read at empty truck weighing
check_abnormalitytr245;rfidMZGBMS;RFID tag read at empty truck weighing
check_abnormalitytr298;rfidPYSZHZ;RFID tag read at empty truck weighing
check_abnormalitytr212;rfidIEKTXY;RFID tag read at empty truck weighing
check_abnormalitytr253;rfidKJMYIU;RFID tag read at empty truck weighing
check_abnormalitytr141;rfidEIJMGR;RFID tag read at empty truck weighing
determine_continuanceSilo40;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo40;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo40;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo40;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo40;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo40;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo40;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo40;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo40;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo40;null;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr212;WS13;Weight sensor for loaded truck weighing
weigh_loaded_trucktr245;WS14;Weight sensor for loaded truck weighing
trs_entrytr140;rfidRKPKAW;RFID tag read at entrance
weigh_empty_trucktr140;WS09;Weight sensor for empty truck weighing
trs_entrytr262;rfidJBCUAU;RFID tag read at entrance
trs_entrytr151;rfidUYGCTT;RFID tag read at entrance
trs_entrytr291;rfidDQHJIJ;RFID tag read at entrance
weigh_empty_trucktr151;WS05;Weight sensor for empty truck weighing
weigh_empty_trucktr262;WS20;Weight sensor for empty truck weighing
weigh_empty_trucktr291;WS08;Weight sensor for empty truck weighing
check_abnormalitytr140;rfidRKPKAW;RFID tag read at empty truck weighing
check_abnormalitytr291;rfidDQHJIJ;RFID tag read at empty truck weighing
check_abnormalitytr262;rfidJBCUAU;RFID tag read at empty truck weighing
check_abnormalitytr151;rfidUYGCTT;RFID tag read at empty truck weighing
determine_continuanceSilo47;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo47;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo47;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo47;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo47;null;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr140;WS09;Weight sensor for loaded truck weighing
weigh_loaded_trucktr291;WS16;Weight sensor for loaded truck weighing
weigh_loaded_trucktr262;WS12;Weight sensor for loaded truck weighing
trs_entrytr252;rfidSEYGNY;RFID tag read at entrance
trs_entrytr113;rfidWJPYXD;RFID tag read at entrance
trs_entrytr157;rfidVPWUWT;RFID tag read at entrance
trs_entrytr135;rfidQYBWVO;RFID tag read at entrance
trs_entrytr238;rfidIETUDB;RFID tag read at entrance
trs_entrytr143;rfidSMBPDH;RFID tag read at entrance
trs_entrytr236;rfidBVYLMU;RFID tag read at entrance
weigh_empty_trucktr113;WS03;Weight sensor for empty truck weighing
weigh_empty_trucktr252;WS20;Weight sensor for empty truck weighing
