ocel_event_id;ocel_IoT_object_id;ocel_qualifier
weigh_empty_trucktr157;WS15;Weight sensor for empty truck weighing
weigh_empty_trucktr238;WS11;Weight sensor for empty truck weighing
weigh_empty_trucktr135;WS13;Weight sensor for empty truck weighing
weigh_empty_trucktr236;WS19;Weight sensor for empty truck weighing
weigh_empty_trucktr143;WS16;Weight sensor for empty truck weighing
check_abnormalitytr157;rfidVPWUWT;RFID tag read at empty truck weighing
check_abnormalitytr135;rfidQYBWVO;RFID tag read at empty truck weighing
check_abnormalitytr238;rfidIETUDB;RFID tag read at empty truck weighing
check_abnormalitytr113;rfidWJPYXD;RFID tag read at empty truck weighing
check_abnormalitytr252;rfidSEYGNY;RFID tag read at empty truck weighing
check_abnormalitytr143;rfidSMBPDH;RFID tag read at empty truck weighing
check_abnormalitytr236;rfidBVYLMU;RFID tag read at empty truck weighing
trs_entrytr69;rfidVYSGXW;RFID tag read at entrance
trs_entrytr199;rfidDHGMTX;RFID tag read at entrance
trs_entrytr33;rfidUQGHWJ;RFID tag read at entrance
trs_entrytr94;rfidRVNSTT;RFID tag read at entrance
trs_entrytr239;rfidOCYWAJ;RFID tag read at entrance
trs_entrytr13;rfidUOBFIE;RFID tag read at entrance
weigh_empty_trucktr33;WS18;Weight sensor for empty truck weighing
weigh_empty_trucktr199;WS08;Weight sensor for empty truck weighing
weigh_empty_trucktr69;WS16;Weight sensor for empty truck weighing
weigh_empty_trucktr94;WS01;Weight sensor for empty truck weighing
weigh_empty_trucktr239;WS19;Weight sensor for empty truck weighing
weigh_empty_trucktr13;WS04;Weight sensor for empty truck weighing
determine_continuanceSilo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr199;rfidDHGMTX;RFID tag read at empty truck weighing
check_abnormalitytr69;rfidVYSGXW;RFID tag read at empty truck weighing
check_abnormalitytr33;rfidUQGHWJ;RFID tag read at empty truck weighing
check_abnormalitytr94;rfidRVNSTT;RFID tag read at empty truck weighing
check_abnormalitytr239;rfidOCYWAJ;RFID tag read at empty truck weighing
check_abnormalitytr13;rfidUOBFIE;RFID tag read at empty truck weighing
trs_entrytr176;rfidKJYVGJ;RFID tag read at entrance
trs_entrytr219;rfidXIRHWR;RFID tag read at entrance
trs_entrytr119;rfidPVALEF;RFID tag read at entrance
trs_entrytr175;rfidSTTGXT;RFID tag read at entrance
trs_entrytr184;rfidJOHMZB;RFID tag read at entrance
trs_entrytr46;rfidDYZXNX;RFID tag read at entrance
weigh_empty_trucktr176;WS12;Weight sensor for empty truck weighing
weigh_empty_trucktr219;WS06;Weight sensor for empty truck weighing
weigh_empty_trucktr119;WS20;Weight sensor for empty truck weighing
weigh_empty_trucktr184;WS03;Weight sensor for empty truck weighing
weigh_empty_trucktr175;WS07;Weight sensor for empty truck weighing
weigh_empty_trucktr46;WS16;Weight sensor for empty truck weighing
check_abnormalitytr219;rfidXIRHWR;RFID tag read at empty truck weighing
check_abnormalitytr176;rfidKJYVGJ;RFID tag read at empty truck weighing
check_abnormalitytr46;rfidDYZXNX;RFID tag read at empty truck weighing
check_abnormalitytr175;rfidSTTGXT;RFID tag read at empty truck weighing
check_abnormalitytr119;rfidPVALEF;RFID tag read at empty truck weighing
check_abnormalitytr184;rfidJOHMZB;RFID tag read at empty truck weighing
determine_continuanceSilo55;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo55;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo55;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo55;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo55;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo55;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo55;null;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr252;WS01;Weight sensor for loaded truck weighing
weigh_loaded_trucktr157;WS04;Weight sensor for loaded truck weighing
weigh_loaded_trucktr135;WS02;Weight sensor for loaded truck weighing
determine_continuanceSilo70;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo70;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo70;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo70;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo70;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo70;null;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr33;WS10;Weight sensor for loaded truck weighing
weigh_loaded_trucktr199;WS10;Weight sensor for loaded truck weighing
weigh_loaded_trucktr13;WS09;Weight sensor for loaded truck weighing
weigh_loaded_trucktr94;WS14;Weight sensor for loaded truck weighing
weigh_loaded_trucktr239;WS16;Weight sensor for loaded truck weighing
trs_entrytr169;rfidXURWNZ;RFID tag read at entrance
trs_entrytr167;rfidVDGOYG;RFID tag read at entrance
trs_entrytr161;rfidEMQYWY;RFID tag read at entrance
trs_entrytr75;rfidFOWCLA;RFID tag read at entrance
trs_entrytr101;rfidGFVEYL;RFID tag read at entrance
weigh_empty_trucktr169;WS04;Weight sensor for empty truck weighing
weigh_empty_trucktr161;WS18;Weight sensor for empty truck weighing
weigh_empty_trucktr101;WS08;Weight sensor for empty truck weighing
weigh_empty_trucktr75;WS17;Weight sensor for empty truck weighing
weigh_empty_trucktr167;WS20;Weight sensor for empty truck weighing
weigh_loaded_trucktr176;WS13;Weight sensor for loaded truck weighing
weigh_loaded_trucktr219;WS15;Weight sensor for loaded truck weighing
weigh_loaded_trucktr175;WS14;Weight sensor for loaded truck weighing
weigh_loaded_trucktr184;WS15;Weight sensor for loaded truck weighing
check_abnormalitytr169;rfidXURWNZ;RFID tag read at empty truck weighing
check_abnormalitytr101;rfidGFVEYL;RFID tag read at empty truck weighing
check_abnormalitytr167;rfidVDGOYG;RFID tag read at empty truck weighing
check_abnormalitytr75;rfidFOWCLA;RFID tag read at empty truck weighing
check_abnormalitytr161;rfidEMQYWY;RFID tag read at empty truck weighing
determine_continuanceSilo31;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo31;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo31;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo31;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo31;null;3rd grain temperature sensor for determining the pickup continuation
trs_entrytr100;rfidRHTOJK;RFID tag read at entrance
trs_entrytr215;rfidLKVIOZ;RFID tag read at entrance
trs_entrytr108;rfidWAWRHF;RFID tag read at entrance
trs_entrytr51;rfidTQQOXX;RFID tag read at entrance
trs_entrytr90;rfidNLNOFF;RFID tag read at entrance
trs_entrytr217;rfidNSBJQV;RFID tag read at entrance
weigh_empty_trucktr100;WS06;Weight sensor for empty truck weighing
weigh_empty_trucktr51;WS20;Weight sensor for empty truck weighing
weigh_empty_trucktr215;WS17;Weight sensor for empty truck weighing
weigh_empty_trucktr90;WS13;Weight sensor for empty truck weighing
weigh_empty_trucktr108;WS01;Weight sensor for empty truck weighing
weigh_empty_trucktr217;WS03;Weight sensor for empty truck weighing
check_abnormalitytr100;rfidRHTOJK;RFID tag read at empty truck weighing
check_abnormalitytr90;rfidNLNOFF;RFID tag read at empty truck weighing
check_abnormalitytr108;rfidWAWRHF;RFID tag read at empty truck weighing
check_abnormalitytr51;rfidTQQOXX;RFID tag read at empty truck weighing
check_abnormalitytr215;rfidLKVIOZ;RFID tag read at empty truck weighing
check_abnormalitytr217;rfidNSBJQV;RFID tag read at empty truck weighing
trs_entrytr256;rfidHHRLAJ;RFID tag read at entrance
trs_entrytr88;rfidKDHVIB;RFID tag read at entrance
trs_entrytr85;rfidQJTJOW;RFID tag read at entrance
trs_entrytr56;rfidDUREUO;RFID tag read at entrance
trs_entrytr77;rfidQMJDEG;RFID tag read at entrance
trs_entrytr259;rfidKEDGCW;RFID tag read at entrance
trs_entrytr216;rfidIKKJWD;RFID tag read at entrance
trs_entrytr235;rfidOXYXXE;RFID tag read at entrance
trs_entrytr228;rfidWITFTT;RFID tag read at entrance
weigh_loaded_trucktr161;WS16;Weight sensor for loaded truck weighing
weigh_loaded_trucktr75;WS14;Weight sensor for loaded truck weighing
trs_entrytr250;rfidKCDWEO;RFID tag read at entrance
weigh_loaded_trucktr169;WS13;Weight sensor for loaded truck weighing
weigh_empty_trucktr256;WS11;Weight sensor for empty truck weighing
weigh_empty_trucktr88;WS08;Weight sensor for empty truck weighing
weigh_empty_trucktr216;WS16;Weight sensor for empty truck weighing
weigh_empty_trucktr77;WS17;Weight sensor for empty truck weighing
weigh_empty_trucktr235;WS03;Weight sensor for empty truck weighing
weigh_empty_trucktr259;WS15;Weight sensor for empty truck weighing
weigh_empty_trucktr228;WS04;Weight sensor for empty truck weighing
weigh_empty_trucktr85;WS18;Weight sensor for empty truck weighing
weigh_empty_trucktr56;WS13;Weight sensor for empty truck weighing
weigh_empty_trucktr250;WS05;Weight sensor for empty truck weighing
determine_continuanceSilo90;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo90;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo90;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo90;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo90;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo90;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo90;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo90;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo90;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo90;null;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr256;rfidHHRLAJ;RFID tag read at empty truck weighing
check_abnormalitytr88;rfidKDHVIB;RFID tag read at empty truck weighing
check_abnormalitytr259;rfidKEDGCW;RFID tag read at empty truck weighing
check_abnormalitytr85;rfidQJTJOW;RFID tag read at empty truck weighing
check_abnormalitytr77;rfidQMJDEG;RFID tag read at empty truck weighing
check_abnormalitytr56;rfidDUREUO;RFID tag read at empty truck weighing
check_abnormalitytr235;rfidOXYXXE;RFID tag read at empty truck weighing
check_abnormalitytr228;rfidWITFTT;RFID tag read at empty truck weighing
check_abnormalitytr216;rfidIKKJWD;RFID tag read at empty truck weighing
check_abnormalitytr250;rfidKCDWEO;RFID tag read at empty truck weighing
determine_continuanceSilo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo98;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continuanceSilo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo98;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo98;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;Temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;Humidity sensor for determining the pickup continuation
determine_continuanceSilo98;null;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo98;null;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr51;WS05;Weight sensor for loaded truck weighing
weigh_loaded_trucktr217;WS12;Weight sensor for loaded truck weighing
weigh_loaded_trucktr88;WS13;Weight sensor for loaded truck weighing
weigh_loaded_trucktr235;WS06;Weight sensor for loaded truck weighing
weigh_loaded_trucktr77;WS18;Weight sensor for loaded truck weighing
weigh_loaded_trucktr228;WS16;Weight sensor for loaded truck weighing
weigh_loaded_trucktr56;WS07;Weight sensor for loaded truck weighing
weigh_loaded_trucktr85;WS09;Weight sensor for loaded truck weighing
weigh_loaded_trucktr250;WS17;Weight sensor for loaded truck weighing
trs_entrytr153;rfidHVWVPG;RFID tag read at entrance
trs_entrytr47;rfidLIOEUK;RFID tag read at entrance
trs_entrytr158;rfidGEOLCF;RFID tag read at entrance
trs_entrytr91;rfidMXZMTQ;RFID tag read at entrance
trs_entrytr7;rfidHIGHNM;RFID tag read at entrance
trs_entrytr230;rfidDVUMLQ;RFID tag read at entrance
weigh_empty_trucktr153;WS12;Weight sensor for empty truck weighing
weigh_empty_trucktr47;WS10;Weight sensor for empty truck weighing
weigh_empty_trucktr158;WS11;Weight sensor for empty truck weighing
weigh_empty_trucktr7;WS20;Weight sensor for empty truck weighing
weigh_empty_trucktr91;WS15;Weight sensor for empty truck weighing
weigh_empty_trucktr230;WS09;Weight sensor for empty truck weighing
check_abnormalitytr153;rfidHVWVPG;RFID tag read at empty truck weighing
check_abnormalitytr47;rfidLIOEUK;RFID tag read at empty truck weighing
check_abnormalitytr158;rfidGEOLCF;RFID tag read at empty truck weighing
check_abnormalitytr7;rfidHIGHNM;RFID tag read at empty truck weighing
check_abnormalitytr91;rfidMXZMTQ;RFID tag read at empty truck weighing
check_abnormalitytr230;rfidDVUMLQ;RFID tag read at empty truck weighing
trs_entrytr264;rfidJEQMHU;RFID tag read at entrance
trs_entrytr122;rfidWMLKOZ;RFID tag read at entrance
trs_entrytr232;rfidMLTIKE;RFID tag read at entrance
trs_entrytr299;rfidGUFXHF;RFID tag read at entrance
trs_entrytr190;rfidOZQPKG;RFID tag read at entrance
trs_entrytr61;rfidYRWMJA;RFID tag read at entrance
trs_entrytr21;rfidXKYATP;RFID tag read at entrance
weigh_empty_trucktr264;WS20;Weight sensor for empty truck weighing
weigh_empty_trucktr122;WS04;Weight sensor for empty truck weighing
weigh_empty_trucktr61;WS09;Weight sensor for empty truck weighing
weigh_empty_trucktr232;WS06;Weight sensor for empty truck weighing
weigh_empty_trucktr299;WS05;Weight sensor for empty truck weighing
weigh_empty_trucktr190;WS14;Weight sensor for empty truck weighing
weigh_empty_trucktr21;WS02;Weight sensor for empty truck weighing
check_abnormalitytr264;rfidJEQMHU;RFID tag read at empty truck weighing
check_abnormalitytr122;rfidWMLKOZ;RFID tag read at empty truck weighing
check_abnormalitytr61;rfidYRWMJA;RFID tag read at empty truck weighing
check_abnormalitytr232;rfidMLTIKE;RFID tag read at empty truck weighing
check_abnormalitytr299;rfidGUFXHF;RFID tag read at empty truck weighing
check_abnormalitytr190;rfidOZQPKG;RFID tag read at empty truck weighing
